StationNumber,Station name
11238380,BIG C PH NO 2 NR BIG CREEK CA
11238400,BIG C PH NO 2A NR BIG CREEK CA
11238500,BIG C NR MOUTH NR BIG CREEK CA
11238550,BIG C PH NO 8 NR BIG CREEK CA
11238600,SAN JOAQUIN R AB STEVENSON C NR BIG CREEK CA
11239300,NF STEVENSON C A PERIMETER RD NR BIG C CA
11241500,STEVENSON C A SHAVER LK CA
11241800,BIG C PH NO 3 NR SHAVER LK CA
11242000,SAN JOAQUIN R AB WILLOW C NR AUBERRY CA
11243405,SF WILLOW C NR BASS LAKE CA
11244000,NF WILLOW C NR BASS LAKE CA
11244050,NF WILLOW C BL MANZANITA LK DAM NR NORTH FORK CA
11245300,WILLOW C NR NORTH FORK CA
11246500,WILLOW C A MOUTH NR AUBERRY CA
11246530,BIG C PH NO 4 NR AUBERRY CA
11246570,SAN JOAQUIN PH NO2 NR NORTH FORK CA
11246590,SAN JOAQUIN PH NO1A NR AUBERRY CA
11246700,SAN JOAQUIN R NR AUBERRY CA
11246950,KERCKHOFF PH NR AUBERRY CA
11247050,KERCKHOFF PH NO 2 A MILLERTON LK NR AUBERRY CA
11250110,SAN JOAQUIN R RELEASE A FRIANT DAM CA
11251000,SAN JOAQUIN R BL FRIANT CA
11253058,SAN JOAQUIN R A GRAVELLY FORD CN NR KERMAN CA
11253115,SAN JOAQUIN R BL CHOWCHILLA CN INTAKE NR MENDOTA
11253310,CANTUA C NR CANTUA CREEK CA
11254000,SAN JOAQUIN R NR MENDOTA CA
11255575,PANOCHE C A I-5 NR SILVER CREEK CA
11260815,SAN JOAQUIN R NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA
11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA
11262900,MUD SLOUGH NR GUSTINE CA
11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA
11269700,EXCHEQUER PH A EXCHEQUER CA
11270900,MERCED R BL MERCED FALLS DAM NR SNELL CA
11271290,MERCED R A SHAFFER BRIDGE NR CRESSEY CA
11271360,MERCED R NR ALVES RD NR CRESSEY CA
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA
11274000,SAN JOAQUIN R NR NEWMAN CA
11274500,ORESTIMBA C NR NEWMAN CA
11274550,SAN JOAQUIN R NR CROWS LANDING CA
11274630,DEL PUERTO C NR PATTERSON CA
11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY
11276500,TUOLUMNE R NR HETCH HETCHY CA
11276600,TUOLUMNE R AB EARLY INTAKE NR MATHER CA
11276900,TUOLUMNE R BL EARLY INTAKE NR MATHER CA
11277300,CHERRY C BL VALLEY DAM NR HETCH HETCHY CA
11278000,ELEANOR C NR HETCH HETCHY CA
11278300,CHERRY C NR EARLY INTAKE CA
11278400,CHERRY C BL DION R HOLM PH NR MATHER CA
11284400,BIG C AB WHITES GULCH NR GROVELAND CA
11289000,MODESTO CN NR LA GRANGE CA
11289500,TURLOCK CN NR LA GRANGE CA
11289650,TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA
11289651,COMBINED FLOW TUOLUMNE R + MODESTO CN + TURLOCK CN
11289850,DRY C A CRABTREE RD NR LA GRANGE CA
11290000,TUOLUMNE R A MODESTO CA
11292000,MF STANISLAUS R AT KENNEDY MDWS NR DARDANELLE CA
11292700,MF STANISLAUS R A HELLS HALF ACRE BRIDGE CA
11292900,MF STANISLAUS R BL BEARDSLEY DAM CA
11293200,MF STANISLAUS R BL SND BAR DIV DAM NR AVERY CA
11293372,NF STANISLAUS R BL UTICA RES NR BEAR VALLEY CA
11293462,SILVER C BL LK ALPINE NR BEAR VALLEY CA
11293580,NF STANISLAUS R DIV TUNNEL NR BIG MDW CA
11293600,NF STANISLAUS R BL DIV D
11293760,NEW SPICER MDW DAM PP A NSMD NR B MDW CA
11294000,HIGHLAND C BL SPICER MEADOWS RES CA
11294500,NF STANISLAUS R NR AVERY CA
11295210,BEAVER C DIV TO MCKAYS POINT RES NR ARNOLD CA
11295230,BEAVER CR BL DIV DAM NR ARNOLD CA
11295240,UTICA CA A PRESSURE TAP NR HATHAWAY PINES CA
11295250,COLLIERVILLE PP NR MURPHYS CA
11295270,NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA
11295300,NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA
11295340,MILL C BL HUNTER RES A HATHAWAY PINES CA
11295505,STANISLAUS PP NR HATHAWAY PINES CA
11296500,SF STANISLAUS R A STRAWBERRY CA
11297000,PHILADELPHIA CN NR STRAWBERRY CA
11297200,SF STANISLAUS R NR STRAWBERRY CA
11297500,TUOLUMNE CN NR LONG BARN CA
11298000,SF STANISLAUS R NR LONG BARN CA
11298650,ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA
11298700,ANGELS C BL UTICA D DIV DAM NR MURPHYS CA
11299600,BLACK C NR COPPEROPOLIS CA
11300500,S SAN JOAQUIN CN NR KNIGHTS FERRY CA
11301000,OAKDALE CN NR KNIGHTS FERRY CA
11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA
11302500,STANISLAUS R A OAKDALE CA
11303000,STANISLAUS R A RIPON CA
11303500,SAN JOAQUIN R NR VERNALIS CA
11313000,DELTA-MENDOTA CN A TRACY PP NR TRACY CA
11313472,UP BLUE LK OUTLET NR MARKLEEVILLE CA
11313477,LO BLUE LK OUTLET NR MARKLEEVILLE CA
11313482,MEADOW C BL TWIN LK NR MARKLEEVILLE CA
11313485,MEADOW LK OUTLET NR MARKLEEVILLE CA
11313510,SALT SPRINGS PH NR WEST POINT CA
11314000,TIGER C PH COND BL SALT SPRINGS DAM CA
11314500,NF MOKELUMNE R BL SALT SPRINGS DAM CA
11315000,COLE C NR SALT SPRINGS DAM CA
11315030,COLE C BL DIV DAM NR SALT SPRINGS DAM CA
11315900,BEAR R BL LO BEAR R DAM CA
11316100,BEAR R BL BEAR R DIV DAM CA
11316605,TIGER C BL REGULATOR RES NR PIONEER CA
11316610,TIGER C PH NR WEST POINT CA
11316670,NF MOKELUMNE R BL TIGER C RES NR WEST PT CA
11316700,NF MOKELUMNE R BL ELECTR DIV DAM NR WEST PT CA
11316800,FOREST C NR WILSEYVILLE CA
11317000,MF MOKELUMNE R A WEST POINT CA
11318500,SF MOKELUMNE R NR WEST POINT CA
11319500,MOKELUMNE R NR MOKELUMNE HILL CA
11323500,MOKELUMNE R BL CAMANCHE DAM CA
11325000,WOODBRIDGE CN A WOODBRIDGE CA
11325500,MOKELUMNE R A WOODBRIDGE CA
11335000,COSUMNES R A MICHIGAN BAR CA
11336585,LAGUNA C NR ELK GROVE CA
11342000,SACRAMENTO R A DELTA CA
11345500,SF PIT R NR LIKELY CA
11348500,PIT R NR CANBY CA
11350500,ASH C A ADIN CA
11351946,PIT R BYPSS FLW BL DIV TO MUCK VALLEY PP NR BIEBER
11351948,PIT R OGEE WEIR BL DIV TO MUCK VALLEY PP NR BIEBER
11351950,PIT R BL DIV TO MUCK VALLEY PP NR BIEBER CA
11354200,PIT NO 1 PH NR FALL RIVER MILLS CA
11354500,FALL R A FALL RIVER MILLS CA
11354510,KNOCH CANAL A FALL RIVER MILLS CA
11354511,FALL R POND WEIR A FALL RIVER MILLS CA
11355010,PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA
11355500,HAT C NR HAT CREEK CA
11358700,HAT C BL HAT NO 1 DIV DAM NR BURNEY CA
11358800,HAT C NO 1 PH NR BURNEY CA
11359120,HAT C LOW FLOW RELEASE BL BAUM LAKE NR BURNEY CA
11359200,HAT C NR BURNEY CA
11359300,HAT C NO 2 PH NR BURNEY CA
11361450,PIT R BL LK BRITTON DAM NR BURNEY CA
11362300,PIT NO 3 PH NR BURNEY CA
11362500,PIT R BL PIT NO 4 DAM CA
11362600,PIT R NO 4 PH NR BURNEY CA
11362700,PIT NO 5 PP NR BIG BEND CA
11362800,NELSON C PP NR BIG BEND CA
11362880,NELSON C OVERFLOW WEIR BL PP DIV NR BIG BEND CA
11362890,NELSON C RELEASE WEIR BL PP DIV NR BIG BEND CA
11362900,NELSON C BL DIV TO NELSON C PP NR BIG BEND CA
11362940,EF NELSON C OVERFLOW WEIR BL PP DIV NR BIG BEND CA
11362945,EF NELSON C RELEASE WEIR BL PP DIV NR BIG BEND CA
11362950,EF NELSON C BL DIV TO NELSON C PP NR BIG BEND CA
11363000,PIT R A BIG BEND CA
11363910,JAMES B BLACK PH NR BIG BEND CA
11363930,IRON CANYON C BL IRON CANYON DAM NR BIG BEND CA
11363930,IRON CANYON C BL IRON CANYON DAM NR BIG BEND CA
11364150,PIT R NO 6 PH NR MONTGOMERY CREEK CA
11364800,PIT NO 7 PH NR MONTGOMERY CREEK CA
11365000,PIT R NR MONTGOMERY CREEK CA
11367500,MCCLOUD R NR MCCLOUD CA
11367720,MCCLOUD-IRON CANYON DIVER TUNNEL NR MCCLOUD CA
11367760,MCCLOUD R BL MCCLOUD DAM NR MCCLOUD CA
11367800,MCCLOUD R A AH-DI-NA NR MCCLOUD CA
11368000,MCCLOUD R AB SHASTA LK CA
11370500,SACRAMENTO R A KESWICK CA
11370700,ANDERSON-COTTONWOOD ID CN AT SHARON AVE REDDING CA
11372000,CLEAR C NR IGO CA
11374000,COW C NR MILLVILLE CA
11376000,COTTONWOOD C NR COTTONWOOD CA
11376015,NF BATTLE C BL N BATTLE C DAM NR MANZANITA LAKE CA
11376040,NF BATTLE C BL DIV TO AL SMITH CN NR MANTON CA
11376043,VOLTA NO 1 PH NR MANTON CA
11376046,VOLTA NO2 PH NR MANTON CA
11376050,NF BATTLE C BL DIV TO KESWICK CN NR MANTON CA
11376140,NF BATTLE C BL DIV TO XCOUNTRY CN NR MANTON CA
11376150,NF BATTLE C BL DIV TO EAGLE CY CN NR MANTON CA
11376160,NF BATTLE C BL DIV TO WILDCAT CN NR MANTON CA
11376410,S PH NR MANTON CA
11376430,INSKIP PH NR MANTON CA
11376458,COLEMAN PH NR COTTONWOOD CA
11376460,SF BATTLE C BL DIV TO COLEMAN CN NR MANTON CA
11376550,BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA
11377100,SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA
11379500,ELDER C NR PASKENTA CA
11381500,MILL C NR LOS MOLINOS CA
11383500,DEER C NR VINA CA
11389500,SACRAMENTO R A COLUSA CA
11389720,BUTTE C BL DIV DAM NR STIRLING CITY
11389740,BUTTE C BL FKS OF BUTTE DIV DAM NR DE SABLA CA
11389750,DE SABLA PH NR PARADISE CA
11389780,BUTTE C BL CENTERVILLE DIV DAM NR PARADISE CA
11389800,TOADTOWN CANAL AB BUTTE CANAL NR STIRLING CITY CA
11390000,BUTTE C NR CHICO CA
11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA
11395030,SF FEATHER R BL LITTLE GRASS VALLEY DAM CA
11395200,SF FEATHER R BL DIV DAM NR STRAWBERRY VALLEY CA
11396000,LOST C NR CLIPPER MILLS CA
11396090,WOODLEAF PH NR WOODLEAF CA
11396200,SF FEATHER R BL FORBESTOWN DAM CA
11396329,KELLY RIDGE PH NR OROVILLE CA
11399500,NF FEATHER R NR PRATTVILLE CA
11400500,BUTT C BL ALMANOR-BUTT C TU NR PRATTVILLE CA
11400600,BUTT VALLEY PH NR PRATTVILLE CA
11401110,CARIBOU PH NO1 AND NO2 A CARIBOU CA
11401112,NF FEATHER R BL BELDEN DAM CA
11401920,SPANISH C A QUINCY CA
11402000,SPANISH C AB BLACKHAWK C AT KEDDIE CA
11403050,BELDEN PH A BELDEN CA
11403200,NF FEATHER R BL ROCK C DIV DAM CA
11403450,MILK RANCH CONDUIT A OUTLET CA
11403530,BUCKS C BL DIV DAM NR BUCKS LODGE CA
11403700,BUCKS C PH A STORRIE CA
11403800,ROCK C PH NR STORRIE CA
11404240,GRIZZLY PP NR STORRIE CA
11404300,GRIZZLY C BL DIV DAM CA
11404330,NF FEATHER R BL GRIZZLY C CA
11404360,CRESTA PH NR PULGA CA
11404500,NF FEATHER R A PULGA CA
11404900,POE PH BL POE DAM NR JARBO GAP CA
11405085,WB FEATHER R BL SNAG LK NR JONESVILLE CA
11405120,PHILBROOK C BL PHILBROOK DAM NR BUTTE MEADOWS CA
11405200,WB FEATHER R BL HENDRICKS DIV DAM CA
11406810,PALERMO CN A OROVILLE DAM CA
11406820,EDWARD HYATT PH NR OROVILLE CA
11406850,THERMALITO PH NR OROVILLE CA
11406880,WESTERN CN A INTAKE NR OROVILLE CA
11406890,RICHVALE CN A INTAKE NR OROVILLE CA
11406900,PGE LATERAL A INTAKE NR OROVILLE CA
11406910,SUTTER BUTTE CN A INTAKE NR OROVILLE CA
11406920,THERMALITO AFTERBAY REL TO FEATHER R NR OROVILLE
11406930,DIV TO FEATHER R FISH HATCHERY NR OROVILLE CA
11407000,FEATHER R A OROVILLE CA
11407815,M YUBA R CTRL REL FRM JCK.MDW RES NR SIERRA CTY CA
11408000,MILTON-BOWMAN TUNNEL OUTLET NR GRANITEVILLE CA
11408550,M YUBA R BL MILTON DAM CA
11408880,M YUBA R BL OUR HOUSE DAM CA
11409400,OREGON C BL LOG CABIN DAM NR CAMPTONVILLE CA
11413000,N YUBA R BL GOODYEARS BAR CA
11413250,SLATE C TUNNEL NR STRAWBERRY VALLEY CA
11413300,SLATE C BL DIV DAM NR STRAWBERRY CA
11413517,N YUBA R LOW FLOW REL BL NEW BULLARDS BAR DAM CA
11414100,FORDYCE C BL FORDYCE DAM NR CISCO CA
11414154,SPAULDING NO 1 PH NR EMIGRANT GAP CA
11414155,SPAULDING NO 2 PH NR EMIGRANT GAP CA
11414170,DRUM CN A TUNNEL OUTLET NR EMIGRANT GAP CA
11414194,DRUM NO 1 PH NR BLUE CYN CA
11414195,DRUM NO 2 PH NR BLUE CANYON CA
11414200,S YUBA CN NR EMIGRANT GAP CA
11414210,S YUBA R CONTROLLED REL A LK SPAULDING NR EMIGRANT
11414250,S YUBA R A LANGS CROSSING NR EMIGRANT GAP CA
11414265,RUCKER C BL BLUE LK NR EMIGRANT GAP CA
11414265,RUCKER C BL BLUE LK NR EMIGRANT GAP CA
11414280,RUCKER C BL RUCKER LK NR CISCO CA
11414350,LAKE C BL FEELEY LK NR GRANITEVILLE CA
11414360,LAKE C BL CARR LK NR GRANITEVILLE CA
11414410,CANYON C BL FRENCH LAKE CA
11414700,JACKSON C BL JACKSON LK CA
11416000,BOWMAN-SPAULDING CN INTAKE NR GRANITEVILLE CA
11416100,BOWMAN SPAULDING CN A JORDAN C SIPHON CA
11416200,SPAULDING NO 3 PH NR EMIGRANT GAP CA
11416500,CANYON C BL BOWMAN LK CA
11416585,TEXAS C BL ROCK LK NR GRANITEVILLE CA
11416610,TEXAS C BL LO ROCK LK NR GRANITEVILLE CA
11416620,TEXAS C TRIB BL CULBERTSON LK NR GRANITVLE CA
11416670,LINDSEY C BL M LINDSEY LK NR GRANITEVILLE CA
11416700,LINDSEY C BL LO LINDSEY LK NR GRANITEVILLE CA
11417500,S YUBA R A JONES BAR NR GRASS VALLEY CA
11418000,YUBA R BL ENGLEBRIGHT DAM NR SMARTSVILLE CA
11418500,DEER C NR SMARTSVILLE CA
11421000,YUBA R NR MARYSVILLE CA
11421710,BEAR R NR EMIGRANT GAP CA
11421725,ALTA PH NR DUTCH FLAT CA
11421750,DUTCH FLAT NO 1 PH NR DUTCH FLAT CA
11421760,DUTCH FLAT NO 2 FLUME NR BLUE CANYON CA
11421770,BEAR R BL DRUM AFTERBAY NR BLUE CANYON CA
11421780,CHICAGO PARK FLUME NR DUTCH FLAT CA
11421790,BEAR R BL DUTCH FLAT AFTERBAY NR DUTCH FLAT CA
11421900,ROLLINS PH NR COLFAX CA
11422000,BEAR R CN NR COLFAX CA
11422500,BEAR R BL ROLLINS DAM NR COLFAX CA
11423800,BEAR R F REL BL CAMP FAR WEST RES NR WHEATLAND CA
11424000,BEAR R NR WHEATLAND CA
11424500,DRY C NR WHEATLAND CA
11425310,HALSEY PH NR AUBURN CA
11425415,WISE PH NR AUBURN CA
11425416,NEWCASTLE PP NR NEWCASTLE CA
11425500,SACRAMENTO R A VERONA CA
11426190,LAKE VALLEY CN NR EMIGRANT GAP CA
11426195,CANYON C NR BLUE CANYON CA
11427000,NF AMERICAN R A NORTH FORK DAM CA
11427500,MF AMERICAN R A FRENCH MEADOWS CA
11427750,DUNCAN CYN C BL DIV DAM NR FRENCH MEADOWS CA
11427760,MF AMERICAN R AB MF PH NR FORESTHILL CA
11427960,RUBICON R BL RUBICON DAM NR MEEKS BAY CA
11428400,L RUBICON R BL BUCK ISLAND DAM CA
11428800,RUBICON R BL HELL HOLE DAM CA
11428995,SF RUBICON R BL ROBBS PK FOREBAY NR KYBURZ CA
11429500,GERLE C BL LOON LK NR MEEKS BAY CA
11429500,GERLE C BL LOON LK NR MEEKS BAY CA
114296005,GERLE C LOW FLOW RELEASE BL GERLE RES NR MEEKS BAY
11433060,SF LONG CANYON C DIV TUNNEL NR VOLCANOVILLE CA
11433080,NF LONG CANYON C DIV TU NR VOLCANOVILLE CA
11433085,NF LONG CYN C F REL BL DIV TU NR VOLCANOVILLE CA
11433930,MORMON RAVINE NR NEWCASTLE CA
11434500,ECHO LAKE CONDUIT NR PHILLIPS CA
11435100,PYRAMID C A TWIN BRIDGES CA
11436000,SILVER LK OUTLET NR KIRKWOOD CA
11436510,OYSTER C NR KIRKWOOD CA
11436999,CAPLES C RELEASE BL CAPLES DAM NR KIRKWOOD CA
11439000,EL DORADO CN NR KYBURZ CA
11439500,SF AMERICAN R NR KYBURZ(RIVER ONLY) CA
11439501,SF AMERICAN R NR KYBURZ TOTAL FLOW CA
11439510,NO NAME C NR KYBURZ CA
11439999,ALDER C NR WHITE HALL (CREEK ONLY) CA
11440480,BULL C NR PACIFIC CA
11440530,OGILBY CANYON C NR PACIFIC CA
11440550,ESMERALDA C A PACIFIC CA
11441500,SF SILVER C NR ICE HOUSE CA
11441800,SILVER C BL JUNCTION DAM NR POLLOCK PINES CA
11441900,SILVER C BL CAMINO DIV DAM CA
11442700,BRUSH C BL BRUSH CREEK DAM NR POLLOCK PINES CA
11443500,SF AMERICAN R NR CAMINO CA
11444500,SF AMERICAN R NR PLACERVILLE CA
11446500,AMERICAN R A FAIR OAKS CA
11447360,ARCADE C NR DEL PASO HEIGHTS CA
11447650,SACRAMENTO R A FREEPORT CA
11448750,SF SCOTTS C NR LAKEPORT CA
11448800,SCOTTS C BL SF SCOTTS C NR LAKEPORT CA
11449235,CLOVER C BYPASS A ELK MTN RD NR UPPER LAKE CA
11449255,SCOTTS C AB STATE ROUTE 29 A UPPER LAKE CA
11449370,MOLESWORTH C NR CLEARLAKE CA
11449500,KELSEY C NR KELSEYVILLE CA
11449820,COLE C A KELSEYVILLE CA
11451000,CACHE C NR LOWER LAKE CA
11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA
11451292,INDIAN VALLEY PH INTAKE NR CLEARLAKE OAKS CA
11451300,NF CACHE C NR CLEARLAKE OAKS CA
11451715,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA
11451800,CACHE C A RUMSEY CA
11452500,CACHE C A YOLO CA
11452800,CACHE C OVERFLOW WEIR FROM SETTLING BAS NR WOOD'LD
11452900,CACHE C OUTFLOW FROM SETTLING BASIN NR WOODLAND CA
11452901,CACHE C TOTAL FLOW FROM SETTLING BAS NR WOOD'LD CA
11453000,YOLO BYPASS NR WOODLAND CA
11453500,PUTAH C NR GUENOC CA
11453590,POPE C A WALTER SPRINGS CA
11454000,PUTAH C NR WINTERS CA
11454210,PUTAH SOUTH CN NR WINTERS CA
11456000,NAPA R NR ST HELENA CA
11458000,NAPA R NR NAPA CA
11458433,SONOMA CREEK A KENWOOD CA
11458500,SONOMA C A AGUA CALIENTE CA
11458600,NATHANSON C A SONOMA CA
11459500,NOVATO C A NOVATO CA
11460000,CORTE MADERA C A ROSS CA
11460151,REDWOOD C A HWY 1 BRIDGE A MUIR BEACH CA
11460400,LAGUNITAS C A SAMUEL P TAYLOR STATE PARK CA
11460600,LAGUNITAS C NR PT REYES STATION CA
11460605,OLEMA C A VEDANTA BRIDGE A OLEMA CA
11460750,WALKER C NR MARSHALL CA
11461500,EF RUSSIAN R NR CALPELLA CA
11462080,RUSSIAN R NR TALMAGE CA
11462500,RUSSIAN R NR HOPLAND CA
11463000,RUSSIAN R NR CLOVERDALE CA
11463170,BIG SULPHUR C A G RESORT NR CLOVERDALE CA
11463200,BIG SULPHUR C NR CLOVERDALE CA
11463500,RUSSIAN R A GEYSERVILLE CA
11463682,RUSSIAN R A JIMTOWN CA
11463900,MAACAMA C NR KELLOGG CA
11463980,RUSSIAN R A DIGGER BEND NR HEALDSBURG CA
11464000,RUSSIAN R NR HEALDSBURG CA
11465240,DRY C BLW LAMBERT BR NR GEYSERVILLE CA
11465350,DRY C NR MOUTH NR HEALDSBURG CA
11465390,RUSSIAN R NR WINDSOR CA
11465660,COPELAND C A ROHNERT PARK CA
11465680,LAGUNA DE SANTA ROSA A STONY PT RD NR COTATI CA
11465690,COLGAN C NR SANTA ROSA CA
11465700,COLGAN C NR SEBASTOPOL CA
11465750,LAGUNA DE SANTA ROSA C NR SEBASTOPOL CA
11466170,MATANZAS C A SANTA ROSA CA
11466200,SANTA ROSA C A SANTA ROSA CA
11466320,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA
11466800,MARK WEST C NR MIRABEL HEIGHTS CA
11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA
11467200,AUSTIN C NR CAZADERO CA
11467510,SF GUALALA R NR THE SEA RANCH CA
11467553,NF GUALALA R AB SF GUALALA R NR GUALALA CA
11468000,NAVARRO R NR NAVARRO CA
11468500,NOYO R NR FORT BRAGG CA
11468900,MATTOLE R NR ETTERSBURG CA
11469000,MATTOLE R NR PETROLIA CA
11470500,EEL R BL SCOTT DAM NR POTTER VALLEY CA
11471000,POTTER VALLEY PH INTAKE NR POTTER VALLEY CA
11471099,POTTER VALLEY PH (TR ONLY) NR POTTER VALLEY CA
11471100,POTTER VALLEY IRRIG CN 5+6 NR POTTER VALLEY CA
11471105,POTTER VALLEY IRRIG CN E5 NR POTTER VALLEY CA
11471106,POTTER VALLEY IRRIG CN E6 NR POTTER VALLEY CA
11471500,EEL R A VAN ARSDALE DAM NR POTTER VALLEY CA
11472180,OUTLET C NR WILLITS CA
11473900,MF EEL R NR DOS RIOS CA
11475000,EEL R A FORT SEWARD CA
11475500,SF EEL R NR BRANSCOMB CA
11475500,SF EEL R NR BRANSCOMB CA
11475560,ELDER C NR BRANSCOMB CA
11475800,SF EEL R A LEGGETT CA
11476500,SF EEL R NR MIRANDA CA
11476600,BULL C NR WEOTT CA
11477000,EEL R A SCOTIA CA
11478500,VAN DUZEN R NR BRIDGEVILLE CA
11480390,MAD R AB RUTH RES NR FOREST GLEN CA
11480410,MAD R BL RUTH RES NR FOREST GLEN CA
11481000,MAD R NR ARCATA CA
11481200,LITTLE R NR TRINIDAD CA
11481500,REDWOOD C NR BLUE LAKE CA
11482500,REDWOOD C A ORICK CA
11516530,KLAMATH R BL IRON GATE DAM CA
11517000,SHASTA R NR  MONTAGUE CA
11517500,SHASTA R NR YREKA CA
11519500,SCOTT R NR FORT JONES CA
11520500,KLAMATH R NR SEIAD VALLEY CA
11521500,INDIAN C NR HAPPY CAMP CA
11522500,SALMON R A SOMES BAR CA
11523000,KLAMATH R A ORLEANS
11523200,TRINITY R AB COFFEE C NR TRINITY CENTER CA
11525500,TRINITY R A LEWISTON CA
11525530,RUSH C NR LEWISTON CA
11525655,TRINITY R BL LIMEKILN GULCH NR DOUGLAS CITY CA
11525670,INDIAN C NR DOUGLAS CITY CA
11525854,TRINITY R A DOUGLAS CITY CA
11526250,TRINITY R A JUNCTION CITY CA
11526400,TRINITY R AB NF TRINITY R NR HELENA CA
11527000,TRINITY R NR BURNT RANCH CA
11528700,SF TRINITY R BL HYAMPOM CA
11530000,TRINITY R A HOOPA CA
11530500,KLAMATH R NR KLAMATH CA
11532500,SMITH R NR CRESCENT CITY CA
14361600,"ELLIOTT CREEK NEAR COPPER, OR"
340229116510601,BURNT CANYON C ABV DIV DAM NR BANNING CA
340242116492901,WHITEWATER R DIV FLUME IN UP BURNT CYN NR BANNING
373507121472101,SAN ANTONIO C A INDIAN CREEK ROAD NR SUNOL CA
